geneName	SKG_rep3
Zc3h14	3510
Troap	813
Clca2	0
1810013L24Rik	1627
Srsf7	28849
Fignl2	0
Sema6a	1
Anapc15	913
Misp3	0
Nmb	237
Tcerg1	8771
Zfp712	0
Fam129c	5
Atp5g3	11100
Pifo	0
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	188
Tlr3	0
Olfr1444	0
Olfr150	2
Ifi44	0
Trafd1	2042
Erfl	0
Krt80	0
Armc8	3968
Ppil4	7208
C530005A16Rik	0
Katnbl1	83
Gm21693	0
Spag9	2153
Gm5860	3
Taz	5679
Gfpt1	429
Abcc5	1683
Kcnmb4	57
Gm4013	0
Hpcal1	4968
Tbc1d31	1126
Tmem176b	482
Mir5110	0
Mir5108	0
Cyp3a13	0
Akap7	54
Ablim1	23585
Lcn5	0
Ulk1	3694
Cyp4b1	0
Golga3	3531
Mir1193	0
Wdyhv1	2868
Traf1	58
Atoh1	0
Rxra	0
Dapk3	3567
Mir7002	0
Mir6998	0
Ap3m2	741
Sirt2	6035
Inhbc	0
Slit3	0
Cts3	0
Olfr74	0
Dcakd	1865
Vps35l	6711
Cyhr1	504
Taf10	5338
Hagh	1240
Ogfod3	290
Syn1	0
Glyatl3	0
Slx	0
Ccl27a	0
Sqor	443
Fundc2	2223
Rab5if	7232
H1f5	101
Ankrd2	0
Pop4	1745
Carnmt1	482
Iqcm	0
Clcc1	3079
Magea2	0
Ilf3	7197
Tpd52l2	2778
Arhgap25	10599
Banf1	5848
Tbc1d23	2618
4930473A02Rik	0
Pard3	0
Rorc	57
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	3
Evi5l	3321
Pex5l	0
Mtmr1	2591
Mtor	3596
Zfp758	2
Plekhh2	0
Adgrl3	0
Golga5	326
Plekhb1	0
Nufip1	2540
Gm9866	0
Smap1	822
Tepp	0
Acox2	0
Hars2	2850
Gpa33	0
Sdhb	14760
Gmpr	0
Krt90	0
Me1	0
Klk11	0
Magt1	2038
Mcam	0
Pbld1	0
Tab2	4269
Mettl27	490
Trmt1	1526
Vps37c	2227
Sec23a	3212
Rara	1095
Med1	3515
Ap5b1	899
Bag5	4780
Pdcd2l	1357
Ctcf	11931
Mnd1	1
Tktl1	0
Lix1	0
Ctnnbl1	9941
Snph	0
Raet1e	0
Ppm1m	2891
Prkar1a	59911
Slc27a3	0
Impdh2	6663
Tiprl	2512
Uaca	1216
Smim31	0
Calca	0
Mir6402	0
Phf3	2487
F930015N05Rik	0
9330020H09Rik	117
Gm13884	0
Gm7443	0
Ube2q2	4009
Rfx3	886
Bri3	23
Fbxo27	2
Eps15l1	4119
Tmprss15	0
Max	3328
Ttc8	0
Vti1b	1974
Cpsf3	8462
Nlgn1	0
Casq2	0
Pidd1	912
Asb4	0
Orc4	4681
Mapkbp1	52
Mospd1	1972
Banf2	0
Dclk1	4
Gpcpd1	2001
Sinhcaf	1482
Acbd5	1842
Mir7073	0
Myo7a	1
4930548K13Rik	0
Luc7l2	2170
Dnah8	972
Evc	0
Shroom2	0
1500009C09Rik	0
Kmt2e	6579
Setd5	1251
Pcyox1	2112
Arpp21	2575
Iyd	0
Mir7077	0
Smim4	398
Smc6	7821
Nsmf	1484
Hmbs	1278
Slc35b1	5024
Mir7081	0
Synj2	1413
Suds3	2880
Ptk2b	24974
Gfm2	3864
Rlim	1723
Ddt	1450
Epha3	0
Gatad2a	10290
Shc1	1782
Anks1b	0
Cdk6	1387
Cdk5r2	0
Cdk5r1	0
Kdm1a	7644
Olfr192	0
Scaf4	11382
4930557J02Rik	0
6030466F02Rik	0
Plcxd2	1
Morc2a	3851
Atp6v1c2	0
C5ar1	0
Map1a	0
Gja5	0
Runx2	535
Gja3	0
Ackr3	0
Socs1	3775
Sort1	0
Rangrf	271
Phyhd1	9
Slc4a9	0
Specc1	0
Gtf2a2	3695
Deaf1	3305
Mtarc1	0
Set	22001
Glra3	0
Dnhd1	1
Tmem247	0
