geneName	BALBc_rep1
Zc3h14	5289
Troap	1
Clca2	0
1810013L24Rik	2175
Srsf7	37626
Fignl2	0
Sema6a	0
Anapc15	2056
Misp3	0
Nmb	216
Tcerg1	9797
Zfp712	0
Fam129c	11
Atp5g3	17986
Pifo	0
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	1628
Tlr3	0
Olfr1444	0
Olfr150	0
Ifi44	0
Trafd1	904
Erfl	0
Krt80	0
Armc8	6065
Ppil4	8566
C530005A16Rik	69
Katnbl1	2082
Gm21693	0
Spag9	867
Gm5860	0
Taz	5842
Gfpt1	2970
Abcc5	4951
Kcnmb4	3
Gm4013	1
Hpcal1	4368
Tbc1d31	931
Tmem176b	0
Mir5110	0
Mir5108	0
Cyp3a13	0
Akap7	0
Ablim1	26390
Lcn5	0
Ulk1	3838
Cyp4b1	0
Golga3	4091
Mir1193	0
Wdyhv1	781
Traf1	1566
Atoh1	0
Rxra	2
Dapk3	695
Mir7002	0
Mir6998	0
Ap3m2	285
Sirt2	5132
Inhbc	0
Slit3	0
Cts3	0
Olfr74	0
Dcakd	5016
Vps35l	4404
Cyhr1	1547
Taf10	2966
Hagh	1480
Ogfod3	1163
Syn1	0
Glyatl3	0
Slx	0
Ccl27a	0
Sqor	1
Fundc2	915
Rab5if	6957
H1f5	119
Ankrd2	0
Pop4	2433
Carnmt1	138
Iqcm	0
Clcc1	4634
Magea2	0
Ilf3	11305
Tpd52l2	5860
Arhgap25	6536
Banf1	8520
Tbc1d23	1070
4930473A02Rik	118
Pard3	0
Rorc	4
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	4
Evi5l	2683
Pex5l	0
Mtmr1	2604
Mtor	3041
Zfp758	1387
Plekhh2	0
Adgrl3	0
Golga5	2827
Plekhb1	90
Nufip1	2957
Gm9866	0
Smap1	372
Tepp	0
Acox2	0
Hars2	4557
Gpa33	0
Sdhb	15727
Gmpr	0
Krt90	0
Me1	0
Klk11	0
Magt1	2193
Mcam	0
Pbld1	0
Tab2	2094
Mettl27	143
Trmt1	3222
Vps37c	5788
Sec23a	2235
Rara	2181
Med1	3251
Ap5b1	3
Bag5	3022
Pdcd2l	2883
Ctcf	3909
Mnd1	98
Tktl1	0
Lix1	0
Ctnnbl1	10486
Snph	0
Raet1e	0
Ppm1m	2478
Prkar1a	71817
Slc27a3	0
Impdh2	8429
Tiprl	5439
Uaca	1
Smim31	0
Calca	0
Mir6402	0
Phf3	2790
F930015N05Rik	0
9330020H09Rik	107
Gm13884	0
Gm7443	0
Ube2q2	2076
Rfx3	1794
Bri3	8
Fbxo27	0
Eps15l1	4751
Tmprss15	0
Max	1457
Ttc8	0
Vti1b	1588
Cpsf3	8998
Nlgn1	9
Casq2	0
Pidd1	1694
Asb4	0
Orc4	6086
Mapkbp1	50
Mospd1	45
Banf2	0
Dclk1	2
Gpcpd1	3827
Sinhcaf	1867
Acbd5	28
Mir7073	0
Myo7a	0
4930548K13Rik	0
Luc7l2	2667
Dnah8	5144
Evc	0
Shroom2	0
1500009C09Rik	0
Kmt2e	11034
Setd5	1148
Pcyox1	1305
Arpp21	2414
Iyd	0
Mir7077	0
Smim4	645
Smc6	5748
Nsmf	4055
Hmbs	1720
Slc35b1	7011
Mir7081	0
Synj2	1162
Suds3	535
Ptk2b	32500
Gfm2	5818
Rlim	2994
Ddt	793
Epha3	0
Gatad2a	10928
Shc1	3460
Anks1b	0
Cdk6	476
Cdk5r2	0
Cdk5r1	0
Kdm1a	3128
Olfr192	0
Scaf4	6435
4930557J02Rik	0
6030466F02Rik	0
Plcxd2	31
Morc2a	1296
Atp6v1c2	0
C5ar1	0
Map1a	1
Gja5	0
Runx2	0
Gja3	0
Ackr3	0
Socs1	3750
Sort1	4
Rangrf	248
Phyhd1	0
Slc4a9	0
Specc1	1
Gtf2a2	3578
Deaf1	1342
Mtarc1	0
Set	17672
Glra3	0
Dnhd1	0
Tmem247	0
Pgpep1l	0
Notch3	7
Gtsf1l	0
Chml	1
Rnf212	0
Tceal8	306
Olfr935	0
Gm5087	0
Slco6b1	0
Ranbp3	7810
Parp6	2951
Gng10	5230
Mrps18b	2960
D16Ertd472e	1752
2310039H08Rik	502
Rps10	4429
Arih1	2721
Dancr	539
9530026P05Rik	0
Itgal	33439
Mir6408	0
Sirt6	1953
Rgs12	1353
Gm10681	0
Hfe	0
Tdrd7	1721
Mir1298	0
Ak2	14842
Znhit1	2381
Prx	0
4930509K18Rik	0
Zxdb	1077
Alas2	0
Fiz1	4041
Doxl1	0
Serpinh1	0
Vmn2r65	0
Myh3	0
Grm5	1
Apol7e	0
Vill	0
1700123O12Rik	0
Ins2	0
Wnk1	1745
Tex14	0
Zbtb37	1125
Egfem1	0
Eya1	0
Adgrg2	0
Nkain3	0
Cd2bp2	5388
Sapcd2	1084
Kcng2	0
Tecr	12593
Asmt	0
Tfg	8318
Gm12530	0
A930017M01Rik	0
Trpm3	0
Trpc4	0
Gm14296	0
Mtarc2	3728
Itih5	5666
Adcy4	0
Mical1	4526
Zc3hav1l	13
Lrch4	0
Gbp5	0
Wnk2	54
Sec22a	2433
Ahsa2	2494
Tfeb	611
Tgm1	0
Dynlt1f	83
D7Ertd443e	0
Tlcd2	399
Bend5	1453
Cbwd1	439
Lrch2	0
Zdhhc6	3782
Cbx3	2050
Fndc4	1
Slc25a28	510
Gbp4	14026
Cdkl3	0
Mir6410	0
Etfrf1	780
Gm10549	0
Atn1	238
Zfp111	0
Sema3b	0
Rbm43	51
S100a3	0
Kif18b	2089
Hsh2d	1641
Sgsm2	237
Sem1	4537
Shd	0
Lcp1	217514
H2-Q7	0
Gjb5	0
Rnps1	3933
Gpr83	784
Cyp2d9	0
Rab23	89
Ext2	9793
Scin	953
Clec11a	47
Scg2	0
Map7d2	0
Tectb	0
Spata3	0
Ola1	5397
Lrrc46	0
Tmigd3	0
Dpep2	0
Slc25a51	4690
Ubald2	0
6720489N17Rik	62
Zfp703	4
Slc35g2	0
Clasp2	1953
Pak6	0
Smim19	316
Heph	0
Rhox2a	0
Cd209b	0
Prame	0
Mgam	1871
Sh3d19	1
Dab2	0
Arhgap44	2
Ppp1r32	1
Tead3	112
Ctps2	8448
Gps1	10327
Cdh16	0
Shmt2	8512
Ncor1	11338
Dhrs3	47
Rs1	0
Rps7	9856
Klk5	0
Gm4719	0
D030068K23Rik	0
Gm21828	0
Gm15880	0
4930547E08Rik	0
Mpig6b	0
